newsid,oid,newspaper,title,link,comment,likeit,content,date,category
0007271468,003,뉴시스,北 김정은 위원장 금연 예외?…공개행사서 담배 피워,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=003&aid=0007271468,70,11,"5월30일, 6월4일 관영매체 김 위원장 담배 피우는 사진 게재【서울=뉴시스】김인구 북한전문기자 = 북한은 최근 금연운동을 활발하게 전개하고 있으나, 김정은 노동당 위원장만 예외인 것으로 보인다. 북한의 노동신문과 조선중앙통신 등 관영 매체들은 최근 담배로 인한 폐해에 대해 상세하게 소개하면서 금연운동 확산을 대대적으로 보도하고 있으나, 김정은 위원장은 공개행사에서 여전히 담배를 피우고 있는 것으로 확인됐다. 노동신문은 4일 김정은 위원장이 만경대소년단야영소를 시찰하면서 오른 손에 담배를 들고 있는 사진을 게재해 눈길을 끌었다. 이에 앞서 북한 중앙TV는 지난 달 30일 김 위원장이 보건산소공장 건설장을 시찰하면서 손에 담배를 들고 있는 모습이 공개됐었다고 통일부가 전했다. 그동안 북한의 기록영화 등을 보면, 김 위원장은 실내는 물론 지하철 안에서도 담배를 손에 들고 있는 모습이 포착될 정도로 애연가로 알려져 있다. 그러나 7차 당대회장 등 공식 행사장이나 북한-중국간 농구경기가 열린 체육관 등의 김 위원장 좌석에 담배 재떨이가 없어서 김 위원장도 금연운동에 동참하고 있는 것이 아니냐는 관측이 나왔었다. 그렇지만 지난 5월30일에 이어 4일 북한의 관영 매체에 김 위원장이 담배를 들고 있는 모습이 공개됨에 따라, 김 위원장만 북한이 최근 각지에 금연연구소까지 설치하면서 주력하는 금연운동에서 예외인 것으로 드러난 셈이다. gginko78@newsis.com★ 세상에 이런일이 -  ""왜 거짓말 해!"" 학교 찾아가 10대 딸 뺨 때린 아버지 집유 ★ 오늘의 핫 포토 -  장애인 구역에 주차한 조영남 외제차 ★ 뉴시스 뉴스, 이젠 네이버 뉴스 스탠드에서도 만나세요★ 손 안에서 보는 세상, 모바일 뉴시스<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",2016-06-04,0
0008451774,001,연합뉴스,"미국 국무부 &quot;한미, 사드배치 협의 계속&quot;",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=001&aid=0008451774,16,3,"    (워싱턴=연합뉴스) 노효동 특파원 = 미국 국무부는 고고도미사일방어체계(사드·THAAD)의 한반도 배치 문제에 대한 한국과 미국의 협의가 계속 진행되고 있다는 입장을 표명했다.     마크 토너 국무부 수석부대변인은 3일(현지시간) 정례 브리핑에서 ""북한의 진화하는 위협에 대응하기 위해 사드의 유용성에 대한 한국과 미국의 공식 협의가 시작됐으며, 협의는 계속 진행되고 있다""고 말했다.    그는 이어 ""사드는 순수하게 중거리와 단거리 탄도 미사일에 대응하는 방어용""이라며 ""중국이나 러시아의 전략 억지에 영향을 주지 않는다""고 강조했다.    이에 앞서 미국 국방부 고위 관계자는 지난 2일 ""극복해야 할 많은 기술적 문제들이 남아 있다""면서도 ""(사드 배치와 관련해) 곧 공개적 발표가 있을 것""이라고 말했다고 미국 군사전문매체인 '브레이킹 디펜스'가 보도한 바 있다.    그러나 우리 정부의 고위 관계자는 ""사드 배치 문제에 대한 발표가 곧 임박한 단계는 아니다""면서 ""논의할 시간이 더 필요하다""고 말했다.    rhd@yna.co.kr▶ [핫클릭] 대한항공 또 중복 발권 실수…동명이인 탑승 뒤늦게 발견▶ [핫클릿] 섬마을 여교사 성폭행한 학부모 등 3명 구속▶ [통통영상] '전설의 복서' 무하마드 알리 사망<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>",2016-06-04,0
0007271415,003,뉴시스,"北 최태복, 노동당대표단 인솔 베트남·라오스 방문",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=003&aid=0007271415,12,3,"""北 동시다발 외교행보 국제적 고립 탈피 위한 것""【서울=뉴시스】김인구 북한전문기자 = 북한 노동당 중앙위 부위원장 최태복을 단장으로 하는 노동당 대표단이 베트남과 라오스를 방문하기 위해 4일 평양을 출발했다고 조선중앙통신이 이날 보도했다. 북한은 7차 당대회 이후 아프리카, 중남미 등의 전통적 우방 국가들과 보다 적극적인 외교활동을 펼치고 있다.  지난 달 대외적 국가수반인 최고인민회의 상임위원장 김영남이 적도기니 대통령 취임식 참석을 계기로 아프리카 국가들과 정상 외교를 펼쳤으며, 당 중앙위 부위원장 리수용을 단장으로 한 노동당 대표단은 중국을 방문해 시진핑 당총서기를 만나 관계 복원의 발판을 마련했다. 지난 연말 사망한 김양건 대남비서의 후임으로 대남업무를 맡은 것으로 알려진 김영철 당 중앙위 부위원장을 단장으로 한 노동당 대표단은 쿠바를 방문해 북한과 쿠바간의 전통적 친선협조 관계를 더욱 강화해 나가기로 했다. 우리 정부는 북한의 이러한 동시다발적 외교 행보에 대해 ""국제적 고립에서 벗어나고자 하는 의지의 표현""이라며 ""고립에서 벗어날 수 있는 유일한 길은 비핵화에 대한 진정성을 행동으로 보이는 것""이라고 평가하고 있다.  gginko78@newsis.com★ 세상에 이런일이 -  ""왜 거짓말 해!"" 학교 찾아가 10대 딸 뺨 때린 아버지 집유 ★ 오늘의 핫 포토 -  장애인 구역에 주차한 조영남 외제차 ★ 뉴시스 뉴스, 이젠 네이버 뉴스 스탠드에서도 만나세요★ 손 안에서 보는 세상, 모바일 뉴시스<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",2016-06-04,0
0002094070,421,뉴스1,"국방부, '샹그릴라 대화'서 北비핵화 위한 전방위 외교 '올인'",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=421&aid=0002094070,2,1,"특별세션서 북핵 문제 발제…""새로운 길 모색해야""(싱가포르=뉴스1) 박상휘 기자 = 우리 국방부는 4일 북한의 핵 문제를 대하는 지금까지의 국제사회 방식이 실패했다는 것이 증명됐다며 과거의 접근방식을 버리고 새로운 길을 모색해야 한다고 세계 각국에 호소했다. 윤순구 국방부 국제정책관은 이날 싱가포르에서 열린 제15차 아시아안보회의(샹그릴라 대화) 특별세션을 통해 ""지금까지의 방식으로는 북한의 핵을 억제할 수 없다는 것이 명백해졌다""며 ""북한 핵 억제에 실패한 접근방식을 버리고 새로운 길을 가야 한다""고 주장했다. 윤 정책관은 ""북한은 올해 들어 핵실험과 당대회, 남북 군사회담 제의 등 국내외적으로 잘 짜여진 도발과 대화의 화전양면 전술을 구사하고 있다""며 ""김정은은 이같은 과정을 통해 리더십에 대한 시험을 받고 있으며 국제사회도 북한의 도발 위협을 억제할 수 있는가에 대한 도전을 받고 있다""고 지적했다. 그는 ""북한이 4차 핵실험과 장거리 미사일 발사에 이어 핵탄두 실전배치와 핵선제 공격 등을 공언하며 핵탄두 모형사진까지 공개하는 등 핵사용 위협을 가중시키고 있다""면서 ""이는 인류 역사상 전례 없는 군사적 협박으로 한국에게는 가장 급박하고 절박한 안보 이슈""라고 강조했다. 윤 정책관은 특히 ""북한이 처한 현재 상황과 김정은 정권의 예측불가능성을 감안할 때 북한의 핵 위협 억제에 실패할 경우 재앙적 결과가 초래될 수 있다""며 ""한국의 안보는 물론 북한의 핵 비축량이 늘어남에 따라 핵확산과 같은 '검은 거래'의 유혹이 세계 평화에 직접적인 위협으로 작용할 것""이라고 주장했다. 윤 정책관은 대북제재와 관련, ""북한 핵문제가 대두된 이후 유엔은 어느 때보다도 강력한 대북제재 조치에 대한 합의를 이뤄냈다""며 ""그러나 일부에서는 대북제재 효과에 대한 의구심이 나온다""고 밝혔다. 그는 ""효과를 떠나 북한의 유엔 안전보장이사회 결의 의무위반에 대해 과거와 같이 단순히 어린아이 길들이기 차원의 짧은 기간의 제재 조치와 훈계로는 확실한 교훈을 심어 주지 못한다""며 ""국제사회는 북한이 아프게 느끼는 일련의 조치를 통해 북한내 전략적 선택에 관한 논의를 촉발시킬 수 있는 단초를 마련해야 한다""고 강조했다. 그는 이를 위해 Δ보다 촘촘한 제재 Δ북한과의 대외관계 폐쇄·축소 Δ북한 해외노동자 제한 Δ북한 불법활동 차단 Δ북한 인권문제 등 여러 조치 등이 검토돼야 한다고 밝혔다. 윤 정책관은 북한과의 대화가 필요하다는 일각의 주장에 대해선 ""언젠가 북한과의 대화가 필요하다는 점은 인정하지만, 지금은 대화를 강조하기보다 국제사회의 단합된 대응이 중요하다""며 ""대화 재개를 위해 북한이 비핵화에 대한 명백한 입장을 밝히고 그 의지를 행동으로 보여야 한다""고 강조했다. 그는 남한을 향한 최근 북한의 대화 재개 요구에 비핵화와 관련한 문제가 전혀 포함돼 있지 않다는 점을 지적, ""대북제재의 국제공조를 이완시키기 위한 의도로, 역설적으로 북한이 국제사회의 대북제재에 영향을 받고 있음을 보여준다""고 분석했다. 윤 정책관은 ""인내심을 갖고 일관된 대응을 통해 비핵화의 단초를 마련할 수 있는 기회가 열릴 수 있다""며 ""대화가 재개된다고 해도 북한의 의무위반에 대해 어떠한 수단도 갖지 못할 경우 성과를 기대할 수 없을 것""이라고 주장했다. 또 북핵 문제의 해결을 위해 북한내 안보 우려를 해소해야 한다는 점에는 공감하면서도 ""북한이 가진 안보 우려의 궁극적 해소 방안은 북한체제가 가진 내재적 모순을 해소하는 것""이라며 ""민생을 돌보고 국제사회에 부합하는 방향으로 변화하는 노력을 통해 이러한 목표를 달성할 수 있을 것""이라고 말했다. sanghwi@▶ 매일 업데이트 최신 만화 100% 무료[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2016-06-04,0
0008451754,001,연합뉴스,35개국 참가 샹그릴라대화서 전방위 '북핵 군사외교',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=001&aid=0008451754,4,4,"한민구, 5년만의 본회의 주제연설…""각국 대표단, 우리 정부입장 지지""특별세션·양자대화 통해 대북제재 동참 호소    (싱가포르=연합뉴스) 이정진 기자 = 정부가 4일 싱가포르에서 열린 제15차 아시아안보회의(일명 샹그릴라대화)를 계기로 전방위 북핵 군사외교를 펼쳤다.    한민구 국방부 장관은 이날 한미, 한일, 한미일 국방장관회담과 중국과의 양자대담, 본회의에서의 주제연설 등을 통해 북한 비핵화를 위한 물샐 틈 없는 대북제재의 필요성을 강조하고 국제사회의 동참을 촉구했다.    한 장관은 주제연설에서 ""모든 면에서 예측하기 어려운 북한체제의 핵 도발이 시급히 저지되지 않는다면 핵 없는 세상을 구현하고자 하는 인류의 꿈은 물거품이 될 것이며, 국제 핵 비확산체제는 종언을 고하게 될 것""이라고 역설했다.    이 회의에서 우리 국방부 장관의 주제연설은 2011년 이후 5년 만이다.    북한의 잇따른 도발로 국제사회의 경각심이 높아진 상황에서 한 장관이 연단에 서자 각국 대표단과 전문가들의 질문이 쏟아졌다.    그중에서도 북한 핵·미사일 위협에 대한 대응으로 한미가 추진 중인 사드(THAAD·고고도 미사일방어체계)의 주한미군 배치에 대한 질문이 많았다.    한 장관은 ""대한민국은 사드가 배치되면 군사적으로 유용하다고 보고 있다""면서 ""(사드 배치) 의지를 분명히 가지고 있다""고 밝혔다.    한 장관은 본회의 뒤 기자들에게 ""주제연설을 통해 북한의 비핵화가 반드시 달성돼야 한다는 점을 강조하고 국제사회가 동참해 달라고 요청했고, 많은 나라가 공감했다""고 말했다.    이날 오후 진행된 특별세션에서도 북한 핵 문제가 사상 처음으로 주제로 선정돼 각국 정부의 고위인사와 전문가들이 참여해 1시간30분 가량 열띤 토론이 벌어졌다.    윤순구 국방부 국제정책관이 발제자로 나서 ""북한의 핵 위협 억제에 실패할 경우 재앙적 결과를 초래할 수 있다. 세계 평화에 직접적 위협이 될 것""이라며 북핵 문제의 심각성을 강조하는 한편 북한 해외노동자 송출 제한 등 보다 강력한 제재가 검토돼야 한다고 주장했다.    잇달아 열린 한미, 한일, 한미일 국방장관회담의 가장 중요한 이슈도 북핵 문제였다. 한 장관은 애슈턴 카터 미 국방장관, 나카타니 겐(中谷元) 일본 방위상과 연쇄회담을 하고 대북제재가 제대로 이행되도록 긴밀하게 협력하기로 했다.    한 장관은 중국 대표로 참석한 인민해방군 쑨젠궈(孫建國·상장) 부참모장과의 대담에서도 ""유엔의 대북제재 이후 중국 정부가 취한 대북제재 조치에 감사한다""면서 중국 측에 북한의 비핵화를 위해 건설적 역할을 해 달라고 요청했다.    한 장관은 이외에도 미국 CNN 등 외신과도 인터뷰하고 북핵 문제의 심각성과 우리 정부의 입장 등을 설명한 것으로 전해졌다. 취임 2년이 가까워져 오는 한 장관이 외신과 단독 인터뷰를 한 것은 처음이다.     그만큼 북핵 문제에 대해 전방위 노력이 필요하다는 판단에서라는 게 국방부 관계자의 설명이다.    이번 회의에는 23개국에서 국방장관이 참석하는 등 모두 35개국에서 대표단을 파견했다. 그만큼 대북제재에 대한 국제사회의 여론을 환기하고 더 적극적인 동참을 끌어내는 데는 효과적인 공간인 셈이다.    한 장관은 한국 취재진과의 간담회에서 참가국 대표들이 ""북한의 비핵화 없이는 진정한 평화가 없다는 우리 정부의 입장에 공감을 표시하고 지지했다""고 밝혔다.    한 장관은 회의 마지막 날인 5일에도 스위스, 프랑스 국방장관과 양자회담을 하고 북핵 문제 대응 방안 등을 논의할 예정이다.    transil@yna.co.kr▶ [핫클릭] 대한항공 또 중복 발권 실수…동명이인 탑승 뒤늦게 발견▶ [핫클릿] 섬마을 여교사 성폭행한 학부모 등 3명 구속▶ [통통영상] '전설의 복서' 무하마드 알리 사망<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>",2016-06-04,0
0008451751,001,연합뉴스,"安, 김학일 前총선후보 빈소 방문…고인 추진 법안 발의 약속",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=001&aid=0008451751,98,140,"    (서울=연합뉴스) 서혜림 기자 = 국민의당 안철수 공동대표는 4일 지난 4·13 총선에서 당 소속 후보로 출마했던 고(故) 김학일 전 외교국방연구소 연구위원의 대전 빈소를 찾았다.    대전 유성에서 낙선한 김 전 후보는 이날 새벽 심장마비로 별세한 것으로 알려졌다.    안 대표는 대전성모병원에 마련된 빈소에서 유족들을 조문한 뒤 김 전 후보가 당선되면 추진하려 했던 발달장애인 관련 법안을 대신 발의하겠다고 약속한 것으로 전해졌다.    김경록 대변인은 연합뉴스와의 통화에서 ""안 대표가 대전시당에 당직자를 보내 상을 잘 치를 수 있도록 최대한 지원하도록 당부했다""면서 ""아울러 고인이 국회에 진출해서 추진하고자 했던 일 가운데 장애인 관련법을 (대신) 발의하겠다고 약속했다""고 전했다.    이 법안은 발달장애인의 권익 향상을 위한 제도개선 등의 내용을 담을 예정으로, 김 전 후보는 뇌병변 1급의 장애를 가진 아들과 같은 처지의 장애인을 위해 법안 발의를 원했다고 김 대변인은 설명했다.    hrseo@yna.co.kr▶ [핫클릭] 대한항공 또 중복 발권 실수…동명이인 탑승 뒤늦게 발견▶ [핫클릿] 섬마을 여교사 성폭행한 학부모 등 3명 구속▶ [통통영상] '전설의 복서' 무하마드 알리 사망<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>",2016-06-04,0
0000120779,437,JTBC,"[비하인드 뉴스] 새누리 '대선 잠룡' 3인, 지도부 회동",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=437&aid=0000120779,9,10,"[앵커]마지막 순서 비하인드 뉴스입니다. 정치부 송지혜 기자와 함께 합니다. 송 기자, 첫 번째 키워드부터 소개해 주시죠. [기자]네, 첫 번째 키워드 '눈길 끈 5인 회동'입니다.어제(3일) 저녁 여의도 칼국수집에서 이뤄진 회동 이야기입니다. 새누리당 김희옥 혁신비대원장과 정진석 원내대표, 그리고 여권 내 잠재적 대선주자인 세 사람이 만났습니다. 오세훈 전 서울시장, 남경필 경기지사, 원희룡 제주지사 이렇게 5명이 모여 막걸리를 곁들인 칼국수 회동을 했습니다. [앵커]여론조사 때마다 들어가는 이름들인데, 김희옥 위원장이 부른 것이죠?[기자]혁신 방안에 대한 의견을 수렴하기 위해서 정 원내대표가 마련한 자리였다는 게 새누리당의 설명입니다.최근 이슈가 된 미세먼지 대책부터 현행 소선거구제의 문제점, 또 복당문제까지 다양하게 논의됐다고 합니다. [앵커]그런데 식사 도중에 갑자기 기자들한테 문자를 돌렸다고요?[기자]다섯 명이 식당에 모인 시각이 저녁 6시인데요, 30분쯤 뒤 민경욱 원내대변인이 출입 기자들에게 문자를 보냈습니다.참석자와 모인 시각, 장소, 회동의 배경은 물론 만찬이 끝나는 시각에 영상 촬영이 가능하다는 내용까지 친절한 안내가 이뤄졌습니다. [앵커]흔한 일은 아닌데 취재할 줄 알고 기다리고 있다가 안 와서 그런 건가요? [기자]자세한 내용은 모르겠지만 일각에서는 혁신비대위가 무색무취하게 꾸려졌다는 최근의 비판을 의식한 행보 아니겠느냐, 이런 해석도 나오고 있습니다. 실제 취재를 해보니까 당내에서조차 '보여주기식이 아니겠느냐'는 이런 의견이 일부 있었습니다. [앵커]차라리 모임 전에 알렸더라면 그런 말은 안나왔을텐데, 두 번째 키워드는 무엇입니까?[기자]'입당 러브콜에 미소만' 이렇게 정리했습니다. 어제 국민의당 박지원 원내대표가 손학규 전 더민주 상임고문과 회동을 했는데요.박 원내대표는 오늘 SNS에 글을 올려 ""국민의당 입당을 권유했는데 손 전 고문이 소이부답 했다""고 소개했습니다.사자성어인 소이부답은 '웃기만 할뿐 대답을 하지 않는다'는 뜻이죠.[앵커]소이부답이 지난 주에도 나왔었는데 손 전 고문 측에선 뭐라고 하나요.[기자]최근 손 전 고문이 정치권에 새판짜기가 필요하다, 이렇게 말을 하지 않았습니까. 이건 합종연횡을 한다는 의미는 분명히 아니다, 따라서 어느 당에 들어가고 들어가지 않고를 의미하는 건 아니라고 한 측근은 설명했습니다.손 전 고문의 미소도 입당을 생각해보겠다는 뜻이 아니라 ""당신의 생각을 알겠다"" 정도의 의미로 받아들이는 게 맞다는 겁니다.   정치권에서는 제3지대 역할론도 계속 나오고 있습니다. [앵커]최근에는 웃음으로만 답하는 분들이 굉장히 많은데 다음 키워드는 무엇입니까?[기자]'반기문 떠나고 난 뒤'입니다.반기문 유엔 사무총장이 지난달 30일 방한을 마치고 출국했는데요, 당시 말을 아끼던 야권의 잠재적 대선주자들이 생각이 정리된 듯 잇따라 입장을 밝히고 있습니다. [앵커]어제 비하인드뉴스에서도 나왔는데 안철수 국민의당 대표의 견제성 발언을 했는데 오늘은 무슨 이야기가 나왔습니까?[기자]오늘은 안희정 충남지사와 대구의 김부겸 의원이 나란히 강연에 나서 관련 발언을 했습니다.먼저 안 지사는 ""다른 지역이 다 지역주의를 주장하더라도 충청만큼은 절대로 지역 정치를 이야기하면 안 된다""면서 ""그건 영원한 3등 전략""이라고 주장했습니다. 그래서 반기문 사무총장을 겨냥한 견제구라는 해석이 나오고 있습니다. 또 반기문 사무총장이 방한했던 기간에 ""국제 분쟁 조정자로 남기를 바란다""고 했던 김부겸 의원은 오늘은 ""반 총장의 지지율이 과거 새누리당 지지율을 거의 웃돌고 있다""며 지지율을 의식하는 듯한 발언을 했습니다.[앵커]반기문 총장이 워낙 지지율도 높고 하다보니 굉장히 신중한 반응이었는데 시간이 지나면서 분위기가 바뀌는 모양이네요. 정치부 송지혜 기자였습니다.송지혜▶ JTBC 뉴스 공식 SNS [트위터] [페이스북] [카카오스토리] [유튜브]▶ JTBC 뉴스는 여러분의 생생한 제보를 기다립니다.  Copyright by JTBC, DramaHouse & JcontentHub Co., Ltd. All Rights Reserved. 무단 전재 및 재배포 금지",2016-06-04,0
0008451736,001,연합뉴스,"국방부, 샹그릴라대화서  '북핵ㆍ대북제재  공조' 전력투구",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=001&aid=0008451736,4,3,"윤순구 국방부 국제정책관  윤순구 국제정책관 샹그릴라 대화' '특별세션'서 발제    (싱가포르=연합뉴스) 이정진 기자 = ""북한의 핵 위협 억제에 실패할 경우 재앙적 결과를 초래할 수 있습니다. 세계 평화에 직접적 위협이 될 것입니다.""    윤순구 국방부 국제정책관은 4일 싱가포르 샹그릴라호텔에서 '북한의 위협 억제'를 주제로 진행된 아시아안보회의 특별세션에서 이같이 말하며 국제사회의 대북제재 동참을 호소했다.    올해로 15회째를 맞는 아시아안보회의에서 특별세션 주제로 북핵 문제가 다뤄진 것은 이번이 처음이다. 북한의 4차례 핵실험과 잇단 탄도미사일 발사로 참가국 대표들의 관심이 높아지면서 이번 회의에서 북한 핵 문제가 핫이슈로 다뤄진 것이다.    발제자로 나선 윤 국제정책관은 ""오늘은 점잖은 외교적 수사를 버리겠다""면서 작심한 듯 북한 핵 위협의 심각성에 대해 역설했다.    그는 ""북한의 행태는 인류역사상 전례가 없는 군사적 협박으로서 한국으로서는 가장 급박하고 절박한 안보 이슈""라며 ""북한이 처한 현 상황과 김정은 정권의 예측 불가능성을 감안할 때 재앙적 결과가 초래될 수 있다""고 말했다.    이어 ""그 결과는 한반도와 환경적으로 연결돼 있는 동북아에만 그치지 않을 것""이라며 ""북한의 핵 비축량이 늘어남에 따라 핵 확산과 검은 거래의 유혹은 세계 평화에 직접적 위협이 될 것임은 자명하다""고 강조했다.    윤 국제정책관은 ""북한에 의해 '국제 핵 비확산 체제'는 종언을 맞게 될 것이며 각국은 각자의 방식으로 생존을 도모할 수 있는 방안을 고민할 것""이라며 ""이것은 새로운 질서를 다시 짜야 하는 엄중한 상황이 도래될 수 있다는 의미""라고 말했다.한미일 국방장관 회담    (싱가포르=연합뉴스) '2016 아시아안보회의' 참석차 싱가포르를 방문중인 한민구 국방부 장관이 4일(현지시간) 샹그릴라호텔에서 애슈턴 카터 미국 국방장관, 나카타니 겐(中谷元) 일본 방위상과 3국 국방장관 회담을 하고 있다. 2016.6.4 [국방부 제공]    photo@yna.co.kr    그는 ""지금까지 방식으론 북한 핵을 억제할 수 없다는 것이 명백해졌다""면서 ""단순히 어린아이 길들이기 차원의 짧은 기간의 제재조치와 훈계로는 확실한 교훈을 심어주지 못할 것""이라고 강조했다.    그러면서 ""좀 더 촘촘한 제재, 북한과의 대외관계 폐쇄·축소, 북한 해외노동자 제한, 북한 불법활동 차단, 그리고 북한 인권 문제 등 여러 조치가 검토되기를 기대한다""고 덧붙였다.    그는 이어 ""북한의 안보 우려 해소 요구가 현 체제유지를 의미하는 것이라면 한국, 미국 등 어느 나라도 이런 보장을 할 수 없다""며 ""안보 우려 해소는 국제사회에 부합하는 방향으로 변화하는 노력을 통해 달성할 수 있다""고 지적했다.    특별세션에는 윤 국제정책관 외에 중국에서 루인 대령, 일본에서 스기야마 신스케(杉山晋輔) 외무성 심의관, 영국에서 에이단 포스터-카터 리즈대 교수가 각각 발제자로 참석했다.    세션이 진행된 회의장에 모인 100여 명의 외국 학자와 전문가, 정부 관리, 군 고위 관계자들은 윤순구 국제정책관의 설명에 큰 관심을 표명한 것으로 알려졌다.     세션에서는 대북제재와 관련, 중국의 적극적인 역할을 주문하는 의견들이 많았다. 이에 루 대령은 중국의 대북영향력이 제한적이며 북한을 너무 코너로 몰면 문제 해결이 오히려 어려워진다며 대화를 강조한 것으로 전해졌다.    transil@yna.co.kr▶ [핫클릭] 대한항공 또 중복 발권 실수…동명이인 탑승 뒤늦게 발견▶ [핫클릿] 섬마을 여교사 성폭행한 학부모 등 3명 구속▶ [통통영상] '전설의 복서' 무하마드 알리 사망<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>",2016-06-04,0
0010324801,056,KBS 뉴스,"한미일 국방장관 ""대북제재 철저 이행""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=056&aid=0010324801,1,1,"<앵커 멘트>아시아  안보회의 참석차 싱가포르를  방문 중인 한미일  3국 국방장관이 연쇄회담을 갖고  북핵 대응 방안을 논의했습니다.3국 장관은 철저한 대북제재 이행과 긴밀한 협력을 다짐했습니다.장덕수 기자가  보도합니다. <리포트> 한·미·일 3국 국방 장관이  1년 만에 한 자리에 다시 모였습니다. 핵심 의제는 역시  북한의 핵과 미사일 위협입니다. 세 나라 장관은 북한의 4차 핵실험과 잇따른 미사일 발사가  유엔 안보리 결의와  국제법을 위반하고 있다고,  한 목소리로 규탄했습니다. 이어 철저한 대북 제재 이행을 다짐하고 북한이 분명한  핵 포기 의사를 밝히기 전에는 섣불리 대화에 나서지 않기로 했습니다.<녹취> 한민구(국방부 장관) : ""북한의 비핵화 달성을 위해서는 국제사회가 단합하여 대북 제재와 압박을 빈틈 없이 이행해 나가야 한다는 점을 강조했습니다."" 3국 장관은  다음 달 미사일 경보 훈련을 시작으로,  '군사 정보 공유'를 늘리는 등 북한의 위협에 대비한  군사 분야 협력을 강화해 나가기로 했습니다.  이어진 한 중 고위급 군사회담에서  중국측은  한반도 비핵화를 지지한다는 점을 거듭 분명히 했습니다. 쑨젠궈 중국 부총참모장은  한반도의 평화와 안정이 역내 안정을 위해 매우 중요하다며 비핵화 지지 의사를 밝혔습니다. 하지만, 사드의 한반도 배치에 대해서는  반대 의사를 명확히 했습니다. 한민구 장관은  한반도 사드 배치 문제와 관련해  안보와 국익의 관점에서  사드 배치 의지를 분명히 갖고 있다고  강조했습니다. KBS 뉴스 장덕수입니다.장덕수기자 (joannes@kbs.co.kr)▶ [저작권자ⓒ KBS 무단복제-재배포 금지]",2016-06-04,0
0010324800,056,KBS 뉴스,한-프랑스 정상회담…북핵 공조·경제 협력 합의,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=056&aid=0010324800,14,7,"<앵커 멘트>수교 130주년을 맞아 프랑스를 국빈 방문 중인 박근혜 대통령이 올랑드 대통령과 정상회담을 갖고, 북핵 폐기를 위한 공조를 강화하기로 했습니다.양국은  유엔의 대북제재 결의를  충실히 이행하고, 필요할 경우 추가 조치를 취하기로 했습니다.파리에서 최동혁 기자가 보도합니다.  <리포트> 기마대의 호위를 받으며 샹젤리제 거리를 지나 엘리제궁으로 향한 박 대통령을  올랑드 대통령이 반갑게 맞이합니다. 이어진 정상회담에서 한국과 프랑스는  양국의 포괄적 동반자 관계를 더욱 발전시켜 나가기로 하고 수교 130주년 공동 선언을 채택했습니다. 양국은 먼저, 서로를 경제와 문화 분야 협력을 위한  최적의 파트너로 평가하고, 협력을 지속적으로  확대해 나가기로 했습니다. 또 북핵 문제 해결을 위해 유엔 안보리의 대북 결의를 철저히 이행하기로 했고, 필요할 경우 추가 조치도  강구해 나가기로 했습니다. <녹취> 박근혜(대통령) : ""북핵 문제의 궁극적 해결이 될 수밖에 없는 한반도 통일을 위한 우리의 노력에 대해서도 프랑스 측의 이해와 지지를 구하였습니다.""<녹취> 올랑드(프랑스 대통령) : ""프랑스는 한국의 우방국입니다. 저희는 항상 한국을 지지하고 곁에 있겠습니다."" 양국은  창조경제와 과학기술 분야 등에서  27건의 양해각서도 체결했습니다. 이어진 국빈 만찬에서  프랑스 국기인 삼색기를 연상시키는  한복을 입은 박 대통령은  친구와 와인은 오래될 수록 좋다며 양국 관계 발전을 기원했습니다.  동아프리카 3개국 순방과 프랑스 국빈방문 등  12일 간의 해외 순방 일정을 모두 마친  박 대통령은 내일 귀국합니다. 파리에서 KBS 뉴스 최동혁입니다.최동혁기자 (vivadong@kbs.co.kr)▶ [저작권자ⓒ KBS 무단복제-재배포 금지]",2016-06-04,0
